Name,SMILES,Affinity
dds5_enamine5763,CC1(NC(=O)NC1=O)c1cccc(c1)c1noc(n1)C1CC1c1ccc2ccccc2c1,-10.973
dds5_enamine8128,O=C(N1CCc2cc[nH]c(=O)c2C1)c1cncc(c1)C(=O)N1CCc2cc[nH]c(=O)c2C1,-10.972
dds5_enamine25945,Cc1c(oc2c1ccc1ccccc21)C(=O)N1CCn2c(nnc2C1)C(F)(F)F,-10.831
hinge_enamine2653,Fc1ccc(cc1F)n1nc(C(=O)Nc2nc3ccccc3[nH]2)c2CCCc12,-10.79
dds5_enamine12830,O=C(Cc1c[nH]c2ccccc12)N1CCN(CC1)C(=O)c1cccc2c3CCCCc3[nH]c12,-10.784
dds5_enamine41176,O=C(Nc1noc2CCCCc12)N1CCC(CC1)n1ncc2ccccc12,-10.78
dds5_enamine4335,CC(C)(NC(=O)Nc1cccc2ccc(F)cc12)c1nnc2CCCCn12,-10.775
dds5_enamine37232,CC1CN(CCN1C(=O)c1ccc2C(=O)CCCc2c1)C(=O)c1ccc2C(=O)CCCc2c1,-10.769
hinge_enamine10385,O=C(N1CCN(CC1)S(=O)(=O)c1ccc2OCCCOc2c1)c1ccc2[nH]nnc2c1,-10.63
dds1_enamine151,Oc1nc(no1)c1cccc(c1)C(=O)N1CCC(CC1)c1nnc2CCCn12,-10.617
dds5_enamine29568,Cc1cccc2c(=O)n(Cc3nc(no3)c3cccc(c3)C3(C)NC(=O)NC3=O)cnc12,-10.582
ab_enamine23837,Cc1nc2nc3s/c(=C\c4cccc(c4)[N+](=O)[O-])/c(=O)n3c(=O)c2nc1C,-10.521
dds1_enamine7304,O=C(CC1CCc2ccccc2C1)N1CCC(CC1)c1nnc2CNCCn12,-10.514
dds5_enamine19827,O=C(C1CC(=O)c2ccccc12)N1C[C@@H]2CCCN([C@@H]2C1)C(=O)C1CC(=O)c2ccccc12,-10.51
hinge_enamine4691,Clc1cccc(c1)n1ccc(n1)C(=O)Nc1nnc([nH]1)c1ccccn1,-10.497
dds5_enamine48520,Cc1cc(C(=O)N2CCCCC2c2nc(no2)c2ccccc2)c2n[nH]cc2c1,-10.481
dds5_enamine8327,CC1Cc2ccccc2N1C1CCN(CC1)S(=O)(=O)c1ccc2[nH]c(=O)[nH]c(=O)c2c1,-10.453
hinge_enamine17954,O=C(Nc1ccc2nc3CCCn3c(=O)c2c1)c1ccc(NC2=NS(=O)(=O)c3ccccc23)cc1,-10.429
dds5_enamine41624,Cc1ccc2[nH]c(cc2c1C)C(=O)N1CCC(CC1)c1c[nH]c2ncccc12,-10.409
dds5_enamine28487,CC1Oc2ccc(cc2NC1=O)C(=O)C1CCN(CC1)C(=O)c1cccc2c3CCCCc3[nH]c12,-10.39
psl_enamine427,O=C(N1CCCc2ccccc12)c1ccc(s1)C(=O)N1CCCc2ccccc12,-10.343
dds5_enamine10282,O=C(Nc1cccc(c1)c1nnn[nH]1)c1cc2c(ccc3ccccc23)o1,-10.339
ab_enamine2858,OC(=O)c1cc(ccc1F)S(=O)(=O)Nc1cccc(c1)c1nnc2CCCCCn12,-10.338
dds1_enamine10024,CS(=O)(=O)c1cccc(NC(=O)N2CCC(CC2)c2cccc3ccccc23)c1,-10.334
hinge_enamine15686,CC(=O)N1CC(Oc2ccccc12)C(=O)Nc1ccc(cc1)c1nc2ccccc2o1,-10.322
dds5_enamine39726,C[C@H](Oc1ccc2ccccc2c1)c1nc(no1)c1cccc(c1)C1(C)NC(=O)NC1=O,-10.31
dds5_enamine24570,CNC(=O)c1cccnc1N1CCC(CC1)c1nc2ccccc2o1,-10.297
