Name,SMILES,Affinity
CHEMBL2364611,Cc1cccc(-c2nn3c(c2-c2ccnc4ccc(C(N)=O)cc24)CCC3)n1,-8.55
dds5_enamine47836,O=C(C1CCN(CC1)c1ccc2nnnn2n1)N1CC(c2ccccc12)c1ccccc1,-8.496
dds1_enamine2863,Cc1cc(C(=O)N2CCCC(C2)c2nc(no2)c2cccc(F)c2)c2n[nH]cc2c1,-8.451
dds5_enamine26669,Fc1cccc(c1)C1CNCCN1C(=O)c1cc2CCCCCc2[nH]c1=O,-8.434
CHEMBL4514271,N#Cc1cc(N2CCC(C(=O)N3N=CC[C@H]3c3cc(F)cc(F)c3)CC2)ncn1,-8.391
CHEMBL4591417,Cc1cc(Nc2nccc(-c3sc(C4CCNCC4)nc3-c3ccc(F)cc3)n2)ccn1,-8.382
dds5_enamine33220,Clc1cccc(c1)C1CNCCN1C(=O)c1cc2CCCCCc2[nH]c1=O,-8.313
dds5_enamine14671,Cc1ccc(NC(=O)C2CCc3ccccc3N2C(=O)C2CCN(CC2)c2ncccn2)cc1,-8.28
dds5_enamine42613,Cc1ccc(o1)c1cc([nH]n1)c1nc(Cc2noc(C)n2)no1,-8.241
dds5_enamine25562,Cc1nc2c(cccc2[nH]1)c1noc(n1)c1cccc(NC(=O)C2Cc3ccccc3O2)c1,-8.196
dds5_enamine38703,CCn1nnc(C)c1C(=O)N1CC(C)Oc2ccccc2C1,-8.188
dds5_enamine30987,Fc1ccc(C=C2CCN(CC2)C(=O)C2CCN(CC2)c2ccc3nnnn3n2)cc1F,-8.16
hinge_enamine18519,FC(F)(F)c1cccc(c1)C(Nc1ncnc2n(ncc12)c1ccccc1)c1nnc[nH]1,-8.138
ab_enamine26516,[O-][N+](=O)c1cc(ccc1NC1CCc2ccccc12)C(=O)N1CCOCC1,-8.105
dds5_enamine8519,O=C(Nc1ccc2CCNC(=O)c2c1)N1Cc2ccccc2-c2ccccc2C1,-8.084
hinge_enamine3742,Fc1ccccc1S(=O)(=O)N1CCN(CC(=O)N2CCCC2c2ccc3OCCOc3c2)CC1,-8.071
hinge_enamine17527,O=C(Nc1nnc2CCCCn12)c1cccc(c1)c1ncn[nH]1,-8.053
dds5_enamine45940,O=C(C1CCN(CC1)c1ccc2nnnn2n1)N1CC2(CCCC2)c2ccccc12,-8.051
dds5_enamine29813,CC(CC(=O)N1CCC(O)(CC1)c1nnn[nH]1)c1ccc(F)cc1F,-8.044
ab_enamine20120,Fc1ccc(cc1)N1CC=CCC2(CNC2)C(=O)N2Cc3ccccc3CC2CNC(=O)c2ccc(Cl)c(c2)S1(=O)=O,-8.036
CHEMBL496313,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2nc(N)[nH]c(=O)c2c1,-8.021
dds5_enamine6855,O=C(C1Nc2ccccc2S(=O)(=O)N1)N1CCc2ccccc2C1Cc1ccccc1,-8.008
ab_enamine19251,Nc1nccc(n1)C1CCCN(C1)S(=O)(=O)c1cc(F)cc(c1)[N+](=O)[O-],-7.996
