Name,Affinity
ab_enamine14293,-6.528
dds5_enamine40908,-6.65
dds1_enamine1774,-7.641
ab_enamine11367,-8.577
dds5_enamine10962,-6.293
dds5_enamine10036,-8.242
hinge_enamine12427,-7.367
ab_enamine21397,-9.089
dds5_enamine49473,-5.882
hinge_enamine11349,-6.729
dds5_enamine40970,-8.046
dds5_enamine25632,-7.78
dds5_enamine18981,-8.386
dds5_enamine45561,-7.945
dds5_enamine6517,-7.377
ab_enamine23551,-7.029
dds5_enamine4507,-7.415
dds5_enamine39987,-7.826
ab_enamine25967,-7.839
dds5_enamine19420,-7.47
dds5_enamine14184,-6.919
dds5_enamine39032,-8.347
dds5_enamine23575,-6.258
ab_enamine95,-7.545
hinge_enamine274,-5.799
psl_enamine5693,-6.149
hinge_enamine3333,-8.05
dds5_enamine16659,-8.944
ab_enamine15469,-7.031
dds5_enamine16446,-8.171
hinge_enamine17827,-7.812
hinge_enamine10699,-7.23
dds5_enamine29907,-7.92
ab_enamine10581,-6.065
dds5_enamine46154,-7.562
hinge_enamine2817,-10.13
dds5_enamine48786,-7.944
dds1_enamine3066,-6.992
ab_enamine7926,-7.815
ab_enamine3992,-6.735
dds5_enamine40963,-6.383
dds5_enamine8737,-5.304
hinge_enamine6814,-7.902
dds5_enamine14284,-7.144
dds5_enamine34491,-7.844
ab_enamine5663,-6.47
dds5_enamine44154,-7.56
dds5_enamine2236,-7.591
dds5_enamine30178,-6.439
ab_enamine10139,-8.975
ab_enamine2302,-6.33
dds1_enamine3704,-7.168
dds5_enamine26914,-7.147
dds1_enamine3661,-7.956
dds5_enamine25620,-6.121
hinge_enamine20184,-8.117
ab_enamine9310,-5.931
ab_enamine18254,-7.168
ab_enamine6242,-6.669
dds1_enamine6801,-7.986
dds5_enamine10004,-8.486
dds5_enamine31573,-7.313
ab_enamine10841,-7.417
dds5_enamine45458,-7.125
ab_enamine13567,-7.713
ab_enamine22678,-7.246
hinge_enamine18089,-8.467
dds1_enamine6795,-9.612
