Name,SMILES,Affinity
dds5_enamine25208,O=C1NC(C(=O)N1c1cncc2ccccc12)c1cccc2ccccc12,-9.521
dds5_enamine22825,FC(F)(F)c1cccc(c1)C(=O)N1CCN(CC1)S(=O)(=O)c1ccc2[nH]c(=O)[nH]c2c1,-9.446
dds5_enamine6648,Fc1ccc(cc1)S(=O)(=O)N1CCN(CC1)C(=O)CCn1c(=O)[nH]c(=O)c2ccccc12,-9.43
dds5_enamine14303,CC1(NC(=O)NC1=O)c1cccc(CNC(=O)c2ccc3[nH]c4CCCCCc4c3c2)c1,-9.406
hinge_enamine5572,O=C(Cc1n[nH]c(=O)c2ccccc12)Nc1ncc(Cc2ccccc2)s1,-9.313
dds5_enamine27318,O=C(NC1CCCN(C1)C(=O)c1ccc2n[nH]c(=O)n2c1)c1ccc2ccccc2c1,-9.297
dds5_enamine48950,CC1CCc2[nH]c3ccc(cc3c2C1)C(=O)NCc1cccc(c1)C1(C)NC(=O)NC1=O,-9.24
hinge_enamine1968,Fc1ccc(cc1)C1(CNc2ncnc3n(ncc23)c2ncccn2)CCOCC1,-9.217
dds5_enamine27752,O=C(NS(=O)(=O)c1ccc2NC(=O)CCc2c1)c1ccc2NC(=O)CCCc2c1,-9.205
hinge_enamine8511,O=C(N1CCN(CC1)c1nnnn1c1ccccc1)c1cccc2cn[nH]c12,-9.151
dds5_enamine40929,Fc1ccc(C(=O)N2CCN(CC2)C(=O)c2c[nH]c(=O)c3ccccc23)c(F)c1,-9.146
hinge_enamine15390,C(Nc1ccc2nnnn2n1)C(c1c([nH]c2ccccc12)c1ccccc1)c1ccccc1,-9.142
dds5_enamine105,NC1CCCc2cc(ccc12)c1nc(no1)c1n[nH]c(n1)c1cccc(Br)c1,-9.129
dds5_enamine24797,CC1(NC(=O)NC1=O)c1ccc(cc1)c1noc(n1)c1ccc2C(N)CCCc2c1,-9.121
dds5_enamine3274,Cc1ccccc1Cc1noc(CN2CCOC3(CCc4ccccc34)C2)n1,-9.117
dds5_enamine15071,Cn1ncc2CCC(Cc12)C(=O)N1CCCN(CC1)C(=O)c1cccc(F)c1,-9.117
hinge_enamine14899,FC(F)(F)c1cccc(c1)N1CCN(CC1)C(=O)c1ccc2c(=O)[nH][nH]c(=O)c2c1,-9.115
hinge_enamine11548,Cc1onc(c1c1nnc(CN2CCC(=CC2)c2ccccc2)o1)c1ccccc1,-9.112
dds5_enamine598,O=C(N1CC(=O)NCC1c1ccccc1)c1noc2CCCCc12,-9.098
dds5_enamine19294,[O-][N+](=O)c1cc2c(=O)[nH]cnc2cc1N1CCN(CC1)C(c1ccccc1)c1ccccc1Cl,-9.074
dds5_enamine3158,Cc1ccc(F)c(CC(=O)N2CCC(CC2)c2nnc3CCCn23)c1,-9.071
dds1_enamine6131,O=C1CCCCN1C1CCN(CC1)S(=O)(=O)c1cnc2onc(c3ccccc3)c2c1,-9.038
hinge_enamine13286,Cc1cc(C)c(CNC(=O)c2cccc(NS(=O)(=O)c3ccc4OCCCOc4c3)c2)c(=O)[nH]1,-9.035
dds5_enamine1374,O=C(NCc1ccccc1)C(N1CCN(CC1)C(=O)C1CCC(=O)c2cccn12)c1ccccc1,-9.032
hinge_enamine18519,FC(F)(F)c1cccc(c1)C(Nc1ncnc2n(ncc12)c1ccccc1)c1nnc[nH]1,-9.0
dds5_enamine30014,Clc1ccc2OCC(Cc2c1)C(=O)N1CCCC(Cn2ccnn2)C1,-8.983
dds5_enamine32298,Cc1cccc(c1)c1cccc(CNC(=O)c2cccc(c2)C2(C)NC(=O)NC2=O)c1,-8.981
dds5_enamine33920,Fc1ccccc1Cc1nnc2CN(CCn12)C(=O)c1onc2CCCCc12,-8.976
dds5_enamine38681,CC1(NC(=O)NC1=O)c1ccc(cc1)c1noc(n1)c1cc(Cc2ccccc2)ccc1O,-8.973
psl_enamine3491,COc1ccc(NS(=O)(=O)c2ccc(O)c(NC(=O)c3cc4c(C)nn(c5ccc(F)cc5)c4s3)c2)cc1,-8.958
hinge_enamine7129,O=C(NCC1COc2ccccc2O1)c1ccc(NS(=O)(=O)c2ccc3OCCOc3c2)cc1,-8.953
hinge_enamine8958,Cc1ccc2[nH]c(nc2c1)C1CCCN(C1)C(=O)Cc1cc(F)c(F)cc1F,-8.949
hinge_enamine22265,Cc1ccccc1C1CC(C1)N(C1CC1)C(=O)c1ccc2c(N)ncnc2c1,-8.946
dds1_enamine8309,CC1Cc2cc(ccc2O1)c1ccc(CNC(=O)C2CCC3(CC2)NC(=O)NC3=O)cc1,-8.942
CHEMBL3102955,Oc1ccc(-c2cnc3[nH]cc(-c4ccc(O)c(O)c4)c3c2)cc1O,-8.94
dds5_enamine32241,CC(c1nc(no1)c1cccc(c1)C1(C)NC(=O)NC1=O)n1ccc2ccccc2c1=O,-8.937
dds5_enamine8764,CC(=O)N1CCCC(C1)C(=O)N1C[C@H]2CN(C[C@H]2C1)C(=O)c1cc2sccc2cn1,-8.937
hinge_enamine2653,Fc1ccc(cc1F)n1nc(C(=O)Nc2nc3ccccc3[nH]2)c2CCCc12,-8.935
ab_enamine1430,O=C1CC(=O)Nc2cc(ccc2N1)S(=O)(=O)Nc1ccc2nc(sc2c1)N1CCOCC1,-8.93
ab_enamine11494,O=C1CN(CCN1)c1nc2ccccc2nc1NS(=O)(=O)c1ccc2OCCOc2c1,-8.928
dds5_enamine10891,Cc1cc(nn1c1ccccc1)c1nc(no1)c1n[nH]c2ccccc12,-8.923
psl_enamine1356,Cc1ccc(cc1C)N1C(=O)CS(=O)(=O)C21C(=O)N(Cc1ccccc1Cl)c1ccccc21,-8.922
dds5_enamine7028,O=C(NCCC1CN(c2ccccc12)c1ncnc2[nH]ncc12)c1cccc2[nH]c(=O)[nH]c12,-8.902
hinge_enamine23568,Cc1nc(C)c(o1)C(=O)N[C@@H]1CN(C[C@@H]1O)C(=O)c1ccc2[nH]ncc2c1,-8.889
hinge_enamine23567,O=C1N(Cc2ccc(Nc3ncnc4[nH]ccc34)cc12)C1CCC(=O)NC1=O,-8.889
dds5_enamine3271,Fc1ccc(OCC2CCCN2c2ccc3nnc(n3n2)C(F)(F)F)cc1,-8.887
hinge_enamine15347,COc1ccccc1CNC(=O)c1cc(nc2onc(C)c12)c1ccccc1F,-8.874
hinge_enamine19335,CC1(C)C(=O)Nc2ccc(cc12)S(=O)(=O)Nc1cc2c(=O)[nH]cnc2cc1F,-8.868
psl_enamine2454,COc1ccc(C)cc1n1nnnc1SCn1nnc2ccccc2c1=O,-8.859
dds1_enamine2124,Cc1ccc(c(F)c1)n1nc(C(=O)Nc2cccc(c2)C2(C)NC(=O)NC2=O)c2CCCc12,-8.858
ab_enamine5551,O=C(N1CCC2(CC1)NC(=O)NC2=O)c1cccc(NS(=O)(=O)c2ccc3OCCOc3c2)c1,-8.857
dds5_enamine29568,Cc1cccc2c(=O)n(Cc3nc(no3)c3cccc(c3)C3(C)NC(=O)NC3=O)cnc12,-8.857
hinge_enamine8263,O=C(N1CCN(CC1)c1cnccn1)c1cccc(NS(=O)(=O)c2ccc3OCCOc3c2)c1,-8.854
dds5_enamine6234,O=C(Cc1ccc(cc1)n1cnnc1)N1CCC(CC1)N1CCCCC1=O,-8.853
dds1_enamine8110,N#Cc1cccc(c1)n1ccc(n1)c1nc(no1)c1n[nH]c2ccccc12,-8.852
dds5_enamine47870,COc1cc(cc(F)c1F)C1CCN(C1)C(C(=O)O)c1ccc(Cl)c(F)c1,-8.849
dds5_enamine16661,Cc1c(nnn1c1cccc2cccnc12)C(=O)N1CCC(CC1)c1nnc(N)[nH]1,-8.838
dds5_enamine25542,Cc1ccc(cc1)c1nnc(CSc2nc3ccccc3c(=O)n2c2cccnc2)o1,-8.83
hinge_enamine7061,O(c1ccccc1)c1ncccc1c1noc(n1)c1nn[nH]c1c1ccccc1,-8.823
dds5_enamine14491,CC1Oc2ccc(NC(=O)NCc3ccc(cc3)c3ccc4OCCCc4c3)cc2NC1=O,-8.818
dds5_enamine3245,CN(C)C(=O)Cn1cc(nn1)C(=O)N1CCCCCC1c1ccccc1,-8.817
hinge_enamine9501,Cc1ccccc1c1nnc(o1)c1ccc(cc1)c1ncc(o1)c1ccccc1,-8.814
dds1_enamine6477,O=C(N1CC(c2ccccc2)c2ccccc2C1)c1cnc2[nH]c(=O)[nH]c(=O)c2c1,-8.808
dds5_enamine43661,Fc1cccc(c2cc(NS(=O)(=O)c3ccc4NC(=O)CCc4c3)[nH]n2)c1F,-8.808
dds5_enamine6008,Nc1nn2c(=O)cc(CN3Cc4ccccc4CC3C(=O)NCCc3ccc(F)cc3)nc2[nH]1,-8.803
hinge_enamine20146,Fc1cc(cc(F)c1F)c1ccccc1NS(=O)(=O)c1c[nH]cn1,-8.8
ab_enamine16617,COc1cccc2C(CCc12)NS(=O)(=O)c1c(C)onc1N,-8.796
dds1_enamine966,Cc1n[nH]c(n1)c1ccc(NC(=O)CN2C(=O)NC(C)(C2=O)c2ccc3ccccc3c2)cc1,-8.793
