Name,SMILES,BA_APO_C1,BA_APO_C2,BA_APO_C3,BA_APO_C4,BA_APO_C5,BA_ATP_C1,Common,Predicted_Mtb_perm,Cytotoxicity HaCat cell line,Cytotoxicity NIH 3T3 cell line,Cytotoxicity HEK 293 cell line,Cytotoxicity HepG2 cell line,Cytotoxicity CRL-7250 cell line,qed_score,sc_score,LogP
curia1063,Cc1ccc(NC(=O)N2CCC3(CC2)c2c(-c4cn(nc34)C3CCOCC3)cccc2)cc1,-10.36,-8.893,,-7.136,,-8.94,common_04,1,"('Inactive', '0.79', '0.26')","('Inactive', '0.94', '0.43')","('Inactive', '0.97', '0.53')","('N', '0.81', '0.23')","('Inactive', '0.81', '0.28')",0.5980206807,4.210819958,5.13742
curia0735,Fc1cc(ccc1)C(=O)N1CCN(CC1)c1noc(n1)c1ccccc1,-10.084,-7.736,,-7.389,-8.579,,common_04,1,"('Inactive', '0.86', '0.36')","('Inactive', '0.91', '0.46')","('Inactive', '0.84', '0.37')","('N', '0.79', '0.21')","('Inactive', '0.85', '0.40')",0.7253079571,3.81831745,2.8381
curia2415,Cn1nc(C(=O)N2CCC3(CN(C(=O)O3)c3ncccc3)CC2)c2c1cccc2,-10.065,,-7.581,-7.212,,-8.575,common_04,1,"('Inactive', '0.87', '0.34')","('Inactive', '0.83', '0.20')","('Inactive', '0.84', '0.30')","('N', '0.85', '0.28')","('Inactive', '0.83', '0.26')",0.67081928,4.416679977,2.5999
curia2421,Cn1nc(C(=O)N2CCC3(CN(C(=O)O3)c3cc(Cl)ccc3)CC2)c2c1cccc2,-9.987,-7.418,,,-7.723,-8.908,common_04,1,"('Inactive', '0.82', '0.29')","('Inactive', '0.92', '0.36')","('Inactive', '0.79', '0.30')","('N', '0.86', '0.29')","('Inactive', '0.80', '0.24')",0.6261206306,4.520085909,3.8583
curia3810,CC(=O)N1CC2(CN(C2)S(=O)(=O)c2ccc(C)cc2C)CC1c1ccccc1,-9.74,-7.408,,-6.791,,-8.213,common_04,1,"('Inactive', '0.82', '0.28')","('Inactive', '0.89', '0.37')","('Inactive', '0.92', '0.54')","('N', '0.81', '0.23')","('Inactive', '0.80', '0.24')",0.7972087593,4.156322565,3.28764
curia3965,CNC(=O)C1OC2(CCN(CC2)S(=O)(=O)c2cccc(Cl)c2)c2ccccc12,-9.683,-7.72,,-6.672,-7.704,,common_04,1,"('Inactive', '0.82', '0.29')","('Inactive', '0.91', '0.46')","('Inactive', '0.86', '0.42')","('N', '0.79', '0.21')","('Inactive', '0.87', '0.37')",0.8279533734,4.262098791,2.8373
curia7352,Oc1cc(CC(=O)N2CCCC(C2)c2noc3ccc(cc23)C2CC2)ccc1,-9.59,-8.124,,-6.709,,-9.441,common_04,1,"('Inactive', '0.87', '0.42')","('Inactive', '0.88', '0.27')","('Inactive', '0.89', '0.37')","('N', '0.88', '0.35')","('Inactive', '0.86', '0.43')",0.7346567044,4.476518258,4.3595
curia2397,O=C1OC2(CN1c1ncccc1)CCCN(C2)S(=O)(=O)c1ccccc1,-9.575,,-7.664,-6.817,-7.736,,common_04,1,"('Inactive', '0.91', '0.38')","('Inactive', '0.91', '0.44')","('Inactive', '0.89', '0.46')","('N', '0.83', '0.26')","('Inactive', '0.86', '0.37')",0.8244853823,3.9272783,2.2617
curia6411,CN(C)C(=O)c1cc(ccc1)c1nc(ccn1)N1CCC(C1)N1Cc2ccccc2C1=O,-9.483,-8.109,-7.849,,,-8.592,common_04,1,"('Inactive', '0.94', '0.40')","('Inactive', '0.91', '0.34')","('Inactive', '0.86', '0.34')","('N', '0.83', '0.26')","('Inactive', '0.83', '0.26')",0.6400915991,4.879785611,3.0801
curia4308,O=C(N1C[C@H]2OC(=O)N(C3CN(C3)c3ncccc3)[C@H]2C1)c1noc2ccccc12,-9.397,,-8.042,-7.339,-8.365,,common_04,1,"('Inactive', '0.85', '0.30')","('Inactive', '0.86', '0.25')","('Inactive', '0.90', '0.37')","('N', '0.87', '0.30')","('Inactive', '0.78', '0.23')",0.6555726465,4.728854648,1.7568
